Zeitstempel,Sexo,Idade,Com que frequência você joga... [Jogos de Azar],Com que frequência você joga... [Jogos de Dados],Com que frequência você joga... [Jogos de Tabuleiro],Com que frequência você joga... [Jogos de Cartas],Com que frequência você joga... [Jogos de Computador ou Videogames],Com que frequência você... [Usa smartphones ou tablets],Com que frequência você... [Joga em smartphones ou tablets],"Durante o teste com dados virtuais, senti que...","Durante os testes com dados reais, senti que...","Em relação aos critérios abaixo, você achou melhor ter ou não auxílio de computador? [Praticidade]","Em relação aos critérios abaixo, você achou melhor ter ou não auxílio de computador? [Confiabilidade (ex. trapacear, dados viciados)]","Em relação aos critérios abaixo, você achou melhor ter ou não auxílio de computador? [Diversão]","Em relação aos critérios abaixo, que tipo de dados você achou melhor? [Praticidade]","Em relação aos critérios abaixo, que tipo de dados você achou melhor? [Confiabilidade (ex. trapacear, dados viciados)]","Em relação aos critérios abaixo, que tipo de dados você achou melhor? [Diversão]","No final dos testes, quantas balas você ganhou?",O que você achou positivo no teste?,O que você achou negativo no teste?,Sugestões:
25/06/2015 14:23:49,Feminino,23,Nunca/Raramente,Ocasionalmente,Ocasionalmente,Ocasionalmente,Diariamente,Várias vezes por dia,Várias vezes por dia,o computador trapaceou em favor de meu adversário,,Tanto faz,Tanto faz,Com auxílio (muito melhor),",",",",",",10,all of the balas,,melhor captura dos dados
25/06/2015 14:26:00,Masculino,23,Ocasionalmente,Nunca/Raramente,Nunca/Raramente,Nunca/Raramente,Diariamente,Várias vezes por hora,Ocasionalmente,o jogo foi justo.,,Com auxílio (muito melhor),Com auxílio (muito melhor),Sem auxílio (muito melhor),Dados virtuais (muito melhor),Dados virtuais (muito melhor),Dados reais (muito melhor),0,A diversáo do jogo,,Melhorar o metodo de deteccao da webcam.
25/06/2015 16:57:50,Masculino,22,Nunca/Raramente,Nunca/Raramente,Nunca/Raramente,Nunca/Raramente,Diariamente,Várias vezes por hora,Ocasionalmente,o jogo foi justo.,,",",Com auxílio (muito melhor),Sem auxílio (muito melhor),",",Dados virtuais (muito melhor),Dados reais (muito melhor),10,Divertido!!,Leitura de dados pela camera relativamente impreciso,
25/06/2015 17:01:03,Feminino,28,Nunca/Raramente,Nunca/Raramente,Nunca/Raramente,Nunca/Raramente,Ocasionalmente,Várias vezes por hora,Várias vezes por dia,o jogo foi justo.,,Com auxílio (muito melhor),Com auxílio (muito melhor),",",",",Dados virtuais (muito melhor),Tanto faz,0,foi possivel se divertir,a demora para processar os dados virtuais,
26/06/2015 14:44:04,Masculino,23,Ocasionalmente,Ocasionalmente,Semanalmente/Mensalmente,Ocasionalmente,Semanalmente/Mensalmente,Várias vezes por hora,Ocasionalmente,o jogo foi justo.,,Sem auxílio (muito melhor),Tanto faz,Sem auxílio (muito melhor),",",Tanto faz,",",6,"Eh bom saber que tem um computador que esta contando os pontos pra ti, pra saber quem ganhou. Tira um pouco do trabalho.","Eh ruim ficar reposicionando os dados jogados, pro servidor ficar reconhecendo.","Acho que o servidor podia enviar uma mensagem dizendo que os dados foram reconhecidos, e da pra tirar."
26/06/2015 14:46:43,Masculino,25,Nunca/Raramente,Ocasionalmente,Ocasionalmente,Ocasionalmente,Diariamente,Várias vezes por dia,Várias vezes por dia,o computador trapaceou em favor de meu adversário,eu tinha dados viciados.,",",",",Tanto faz,Dados virtuais (muito melhor),Dados reais (muito melhor),Tanto faz,4,,ainda nao é tao pratico usar o auxílio do computador,
26/06/2015 17:04:44,Masculino,37,Semanalmente/Mensalmente,Nunca/Raramente,Ocasionalmente,Ocasionalmente,Semanalmente/Mensalmente,Várias vezes por dia,Várias vezes por dia,o jogo foi justo.,eu tinha dados viciados.,",",Com auxílio (muito melhor),",",",",Dados virtuais (muito melhor),",",6,A ideia de mesclar jogo virtual com real.,"Embora o auxilio seja confiavel, nao eh muito pratico.",
26/06/2015 17:07:50,Feminino,39,Nunca/Raramente,Nunca/Raramente,Semanalmente/Mensalmente,Nunca/Raramente,Nunca/Raramente,Ocasionalmente,Nunca/Raramente,o jogo foi justo.,meu adversário tinha dados viciados.,Com auxílio (muito melhor),",",",",Dados virtuais (muito melhor),",",",",4,Pratico,Certo travamento,
26/06/2015 17:48:45,Feminino,38,Nunca/Raramente,Nunca/Raramente,Nunca/Raramente,Diariamente,Diariamente,Várias vezes por dia,Várias vezes por dia,o jogo foi justo.,,",",Tanto faz,",",Tanto faz,",",",",4,,,
26/06/2015 17:51:05,Masculino,35,Nunca/Raramente,Nunca/Raramente,Nunca/Raramente,Nunca/Raramente,Ocasionalmente,Várias vezes por hora,Ocasionalmente,o jogo foi justo.,,Com auxílio (muito melhor),Tanto faz,",",Dados virtuais (muito melhor),Tanto faz,",",6,,,
28/06/2015 17:25:41,Masculino,55,Nunca/Raramente,Nunca/Raramente,Ocasionalmente,Ocasionalmente,Ocasionalmente,Várias vezes por hora,Nunca/Raramente,o jogo foi justo.,,Com auxílio (muito melhor),Com auxílio (muito melhor),Tanto faz,Dados virtuais (muito melhor),Dados virtuais (muito melhor),Dados virtuais (muito melhor),4,Funcionou perfeitamente e de facil uso.,Dificultou as regras de pontuacao inusitadas.,Permitir mais jogadores simultaneos.
28/06/2015 17:31:12,Feminino,55,Nunca/Raramente,Ocasionalmente,Ocasionalmente,Diariamente,Nunca/Raramente,Várias vezes por dia,Ocasionalmente,o jogo foi justo.,,Com,Tanto faz,Com auxílio (muito melhor),virtuais,Tanto faz,reais,6,Gostei de sacudir o celular para jogar os dados e adorei a indicacao de quem ganhou.,,"incluir a soma dos dados ou a categoria que atingiu a primeira jogada, primos, fibonaci ou outra."